address,tel,city,category,site,discount_desc
"Αγγελικής Μεταλλινού 28, TK 54249, Θεσσαλονίκη",6982528555,Θεσσαλονίκη,"Αλλο, Αλλο, ΜΟΡΦΩΣΗ & ΕΚΠΑΙΔΕΥΣΗ, ΥΠΗΡΕΣΙΕΣ",www.mindmeup.com.gr,"50% για σύνταξη Βιογραφικού σημειώματος  (Αρχικό Κόστος 40ε),

50% σε Συμβουλευτικές Υπηρεσίες και Συνεντεύξεις - Εύρεση Εργασίας (Αρχικό Κόστος 50ε / Ώρα)."
"Αιόλου 94, Αθήνα 105 59",21 0360 3378,Αθήνα,"Αλλο, ΥΠΗΡΕΣΙΕΣ",https,"20% ΣΤΗ ΣΥΝΤΑΞΗ ΕΠΙΧΕΙΡΗΜΑΤΙΚΩΝ ΣΧΕΔΙΩΝ ΧΡΗΜΑΤΟΔΟΤΗΣΗΣ ΑΠΟ ΤΟ ΕΣΠΑ, ΣΤΗΝ ΜΕΛΕΤΗ ΠΙΣΤΟΠΟΙΗΣΗΣ ISO, ΣΕ WEB & GRAPHIC DESIGN (ΙΣΤΟΣΕΛΙΔΕΣ, E-SHOP, BLOGS, ΛΟΓΟΤΥΠΑ, ΕΝΤΥΠΑ, ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΚΑΤΑΛΟΓΟΣ) ΕΠΙ ΤΩΝ ΑΝΑΓΡΑΦΟΜΕΝΩΝ ΤΙΜΩΝ ΤΩΝ ΥΠΗΡΕΣΙΩΝ / ΠΡΟΙΟΝΤΩΝ ΑΥΤΩΝ."
"Μοσχονησίων 2Α & Αγίου Μελετίου 72, ΤΚ 11252, Αθήνα",2102723413,"Αθήνα,Θεσσαλονίκη,Κρήτη,Μαρούσι,Νέα Ερυθραία,Νέα Ιωνία,Πεντέλη,Τρίπολη,Χίος","Κομμωτηρια, ΥΓΕΙΑ & ΟΜΟΡΦΙΑ",www.modshair.gr,"20% σε υπηρεσίες κομμωτηρίου.



KΟΜΜΩΤΗΡΙΟ


1
ΑΘΗΝΑ"
"Χαλκοκονδύλη 5, 10677, Αθήνα",2103301110,Αθήνα,"ΜΟΡΦΩΣΗ & ΕΚΠΑΙΔΕΥΣΗ, Σχολες Ξενων Γλωσσων",www.eurodiastasi.gr/frontstiria-xenon-glosson-eurodiastasi-a-01-0910-18,"35% επί των τιμών του επίσημου τιμοκαταλόγου σε όλα τα προγράμματα. Εφόσον βρίσκεται σε ισχύ ευνοϊκότερή γενική προσφορά (άνω του 35%), οι κάτοχοι της Ευρωπαϊκής Κάρτας Νέων θα έχουν έκπτωση 5% επιπλέον της γενικά ισχύουσας προσφοράς."
Βασ. Γεωργίου 50Α  15233 Χαλάνδρι,213 0213 120,Χαλάνδρι,"Ενοικιασεις Αυτοκινητων,Ποδηλατων,Μοτοσυκλετων, Σκαφών, ΤΑΞΙΔΙΑ & ΜΕΤΑΦΟΡΕΣ",www.budget.gr,"15% στις υπηρεσίες.



Όροι Προσφοράς"
"Βασ. Γεωργίου 47, Χαλάνδρι 152 33",21 0687 9800,Χαλάνδρι,"Ενοικιασεις Αυτοκινητων,Ποδηλατων,Μοτοσυκλετων, Σκαφών, ΤΑΞΙΔΙΑ & ΜΕΤΑΦΟΡΕΣ",www.avis.gr,"25% στις υπηρεσίες.
Όροι"
"ΑΧΑΪΑΣ 46, ΤΚ 11524, ΑΘΗΝΑ",2106925477,,"Αλλο, Καφετεριες",www.facebook.com/luckymanbilliards/,"10% ΤΙΜΕΣ ΤΙΜΟΚΑΤΑΛΟΓΟΥ, 15% ΣΕ ΠΙΝΓΚ ΠΟΝΓΚ & ΜΠΙΛΙΑΡΔΟ."
"ΑΝΩΠΟΛΗ ΠΕΔΙΑΔΟΣ, 70008, ΗΡΑΚΛΕΙΟ ΚΡΗΤΗΣ",2815000200,Ηράκλειο,"Αλλο, Αλλο, Αλλο, ΠΟΛΙΤΙΣΜΟΣ & ΨΥΧΑΓΩΓΙΑ, ΤΟΥΡΙΣΜΟΣ",WWW.WATERCITY.GR,"50% ΣΤΟ ΕΙΣΙΤΗΡΙΟ ΕΙΣΟΔΟΥ

 

ΣΥΓΚΕΚΡΙΜΕΝΑ ΤΟ ΕΙΣΙΤΗΡΙΟ ΔΙΑΜΟΡΦΩΝΕΤΑΙ ΣΕ"
"ΑΡΕΩΣ 14, ΤΚ 60100, ΟΛΥΜΠΙΑΚΗ ΑΚΤΗ ΚΑΤΕΡΙΝΗΣ, ΠΙΕΡΙΑ",697 900 6181,Κατερίνη,"Ξενοδοχεια, ΤΟΥΡΙΣΜΟΣ",www.ouzashotel.gr,15% ΕΠΙ ΤΗΣ ΣΥΝΟΛΙΚΗΣ ΤΙΜΗΣ.
"ΣΤΡ. ΚΑΡΑΙΣΚΑΚΗ 1-Β, TK 12461, ΧΑΙΔΑΡΙ",2105326009,"Αθήνα,Χαΐδάρι","Γρηγορα Γευματα, Εστιατορια, ΦΑΓΗΤΟ & ΠΟΤΟ",WWW.AGELOS.GR,10% ΣΤΟΝ ΤΕΛΙΚΟ ΛΟΓΑΡΙΑΣΜΟ.
"ΗΛΙΔΟΣ 6, ΤΚ 13562, ΑΘΗΝΑ",2102319934,"Άγιοι Ανάργυροι,Αθήνα","Αλλο, ΥΠΗΡΕΣΙΕΣ",www.logistikoxirouhaki.gr/COMPANY/,20% ΕΚΠΤΩΣΗ ΣΕ ΟΛΕΣ ΤΙΣ ΥΠΗΡΕΣΙΕΣ.
"1Ο ΧΙΛΙΟΜΕΤΡΟ ΘΕΣΣΑΛΟΝΙΚΗΣ - ΩΡΑΙΟΚΑΣΤΡΟΥ, ΕΥΚΑΡΠΙΑ",2310685066,"Θεσσαλονίκη,Ωραιόκαστρο","ΚΑΤΑΣΤΗΜΑΤΑ, Μοδα",WWW.DIO-LAB.GR,"-10% ΕΚΠΤΩΣΗ ΣΕ ΟΛΗ ΤΗΝ ΑΣΗΜΕΝΙΑ ΣΥΛΛΟΓΗ ΚΟΣΜΗΜΑΤΩΝ.

-40% ΣΕ ΟΛΑ ΤΑ ΚΟΛΙΕ ΜΕ ΟΝΟΜΑ ΚΑΙ ΤΑ ΚΟΛΙΕ ΜΕ ΖΩΔΙΟ."
Έδρα,2531028316 (Κεντρικό Κατάστημα) και 2531072244 (Υποκατάστημα),Κομοτηνή,"Αλλο, ΚΑΤΑΣΤΗΜΑΤΑ",www.mixailidisgroup.gr,"20% σε όλα τα είδη, επί των αναγραφόμενων τιμών των προϊόντων αυτών."
"Λυσικράτους 1-7 & Ευριπίδου, 17674 Καλλιθέα",210 8919700,"Αθήνα,Καλλιθέα","Λεωφορεια/Τρενα/Αεροπλανα/Πλοια, ΤΑΞΙΔΙΑ & ΜΕΤΑΦΟΡΕΣ",www.superfast.com,"20% σε όλες τις υπηρεσίες   μεταφοράς για τις δρομολογιακές γραμμές Πάτρα-Ηγουμενίτσα-Κέρκυρα-Ανκόνα, Ανκόνα-Κέρκυρα-Ηγουμενίτσα-Πάτρα, Πάτρα-Ηγουμενίτσα-Κέρκυρα-Μπάρι, Μπάρι-Κέρκυρα-Ηγουμενίτσα-Πάτρα καθώς και Βενετία-Κέρκυρα-Ηγουμενίτσα-Πάτρα, Πάτρα-Ηγουμενίτσα-Κέρκυρα-Βενετία.

Η έκπτωση αφορά τα εισιτήρια επιβατών για τις ως άνω δρομολογιακές γραμμές ανεξαρτήτως θέσης και αναλόγως διαθεσιμότητας.

Η έκπτωση δεν ισχύει αθροιστικά με τις εκπτώσεις / προσφορές του καταλόγου της εταιρίας."
"Δ. ΓΟΥΝΑΡΗ 27, ΤΚ 16562, ΓΛΥΦΑΔΑ",2109607733,Γλυφάδα,"ΜΟΡΦΩΣΗ & ΕΚΠΑΙΔΕΥΣΗ, Σεμιναρια Επαγγελματικης Καταρτισης & Επιμορφωσης",www.infoquality.gr,20% ΣΕ ΟΜΑΔΙΚΕΣ ΕΚΠΑΙΔΕΥΣΕΙΣ (GROUP).
"ΛΟΦΟΣ ΠΑΝΕΠΙΣΤΗΜΙΟΥ, 83200, ΜΥΤΙΛΗΝΗ, ΛΕΣΒΟΣ",2273082255,Λέσβος,"ΜΟΡΦΩΣΗ & ΕΚΠΑΙΔΕΥΣΗ, Σεμιναρια Επαγγελματικης Καταρτισης & Επιμορφωσης",www.elearn-aegean.gr,15% στα προγράμματα
"ΒΑΣΙΛΙΣΣΗΣ ΣΟΦΙΑΣ 98Α, ΤΚ 11528, ΑΘΗΝΑ",2110127842,Αθήνα,"ΜΟΡΦΩΣΗ & ΕΚΠΑΙΔΕΥΣΗ, Σχολες Ξενων Γλωσσων",www.diagerontoudi.gr,10% ΠΡΟΕΤΟΙΜΑΣΙΑ ΜΕΤΑΠΤΥΧΙΑΚΩΝ  ΜΑΘΗΜΑΤΑ GMAT-GRE-TOEFT-IELTS
"ΠΑΥΛΟΥ ΜΕΛΑ 5, ΤΚ 59300, ΑΛΕΞΑΝΔΡΕΙΑ, ΗΜΑΘΙΑ",2333026770,Ημαθία,"ΜΟΡΦΩΣΗ & ΕΚΠΑΙΔΕΥΣΗ, Σεμιναρια Επαγγελματικης Καταρτισης & Επιμορφωσης",www.ramcomputer.gr,20% ΣΕ ΣΕΜΙΝΑΡΙΑ ΕΠΑΓΓΕΛΜΑΤΙΚΗΣ ΚΑΤΑΡΤΙΣΗΣ
"ΠΕΡ. ΟΔΟΣ ΑΡΤΑΣ ΑΡΑΧΘΟΥ, ΤΚ 47100, ΑΡΤΑ",2681400037,Άρτα,"ΜΟΡΦΩΣΗ & ΕΚΠΑΙΔΕΥΣΗ, Σεμιναρια Επαγγελματικης Καταρτισης & Επιμορφωσης, Σχολες Ξενων Γλωσσων",www.futurevoice.edu.gr,10% ΣΕΜΙΝΑΡΙΑ ΕΠΑΓΓΕΛΜΑΤΙΚΗΣ ΚΑΤΑΡΤΙΣΗΣ & ΕΠΙΜΟΡΦΩΣΗΣ - ΣΧΟΛΕΣ ΞΕΝΩΝ ΓΛΩΣΣΩΝ
"ΖΑΡΟΣ ΗΡΑΚΛΕΙΟΥ, ΤΚ 70002, ΚΡΗΤΗ",2894500407,Ηράλειο Κρήτης,"Αλλο, ΥΠΗΡΕΣΙΕΣ",www.mmagroup.gr,20% ΕΠΙ ΤΩΝ ΤΙΜΟΛΟΓΗΜΕΝΩΝ ΥΠΗΡΕΣΙΩΝ.
"ΓΟΥΝΑΡΗ 96 & ΛΕΩΦ. ΚΗΦΙΣΙΑΣ, TK 15125, ΑΘΗΝΑ",2112213726,Αθήνα,"ΜΟΡΦΩΣΗ & ΕΚΠΑΙΔΕΥΣΗ, Σεμιναρια Επαγγελματικης Καταρτισης & Επιμορφωσης",www.bqc.gr,20% Στα Σεμινάρια Επαγγελματικής Κατάρτισης και Επιμόρφωσης.
"ΟΘΩΝΟΣ 2, ΤΚ 15122, ΜΑΡΟΥΣΙ",2106120125,"Αθήνα,Μαρούσι","Αλλο, ΜΟΡΦΩΣΗ & ΕΚΠΑΙΔΕΥΣΗ, Σχολες Ξενων Γλωσσων",www.ekpedefsitheoritiko.gr,"15% στις ξένες γλώσσες Αγγλικά, Γαλλικά, Γερμανικά, Ισπανικά, Ιταλικά, Ρώσσικα, Αραβικά, Κινέζικα, Αλβανικά, Ελληνικά για Ξένους μόνο για τα ομαδικά τμήματα (3+άτομα) και σύμφωνα με τους συμφωνημένους κανονισμούς του Συνεργάτη.

15% σε Πανεπιστημιακό Μαθήματα προετοιμασίας για Κατατακτήριες Εξετάσεις και Εξετάσεις Μεταπτυχιακών για τις Ανθρωπιστικές Σχολές - Τμήματα που προσφέρει το Φροντιστήριο, μόνο για τα ομαδικά τμήματα (3+άτομα) και σύμφωνα με τους συμφωνημένους κανονισμούς του Συνεργάτη.

15% για προετοιμασία για τις Εξετάσεις της Εθνικής Σχολής Δημόσιας Διοίκησης , μόνο για τα ομαδικά τμήματα (3+άτομα) και σύμφωνα με τους συμφωνημένους κανονισμούς του Συνεργάτη.

15% για σύνταξη Portfolio & reference letter για Πανεπιστήμια του Εξωτερικού.
Καλύπτουμε Αγγλικά, Γαλλικά, Γερμανικά, Ιταλικά, Ισπανικά, Ρώσσικα, Κινέζικα και Αραβικά.

15% στην προετοιμασία για τα αντίστοιχα πτυχία γλωσσομάθειας που απαιτούν στα Πανεπιστήμια κάθε χώρας του Εξωτερικού.

Όλες οι εκπτώσεις ισχύουν μόνο εάν ο σπουδαστής έχει εκπληρώσει τις οικονομικές του υποχρεώσεις σύμφωνα με τον διακανονισμό που ο ίδιος έχει κάνει και υπογράψει με το Εκπαιδευτήριο."
"Α. ΜΕΤΑΞΑ 33, TK 16674, ΑΘΗΝΑ",2108981633,"Αθήνα,Γλυφάδα","Αλλο, ΥΠΗΡΕΣΙΕΣ",www.taxsupport.gr,30% ΕΚΠΤΩΣΗ ΣΕ ΟΛΕΣ ΤΙΣ ΛΟΓΙΣΤΙΚΕΣ & ΦΟΡΟΤΕΧΝΙΚΕΣ ΥΠΗΡΕΣΙΕΣ
"Αγ. Δημητρίου 41, ΤΚ 18546, Πειραιάς",2111000170,"Αθήνα,Πειραιάς",Σεμιναρια Επαγγελματικης Καταρτισης & Επιμορφωσης,www.sot.gr,10 % σε μόρφωση και εκπαίδευση.
"5 Ο ΧΙΛ ΛΑΡΙΣΑΣ ΑΘΗΝΩΝ, ΤΚ 41110, ΑΘΗΝΑ",2410688688,"Αθήνα,Θεσσαλονίκη,Λάρισα","Αλλο, ΚΑΤΑΣΤΗΜΑΤΑ",www.biokarpet.gr,"Έκπτωση 10% στα υποκαταστήματα της εταιρίας στην Αθήνα και Θεσσαλονίκη, καθώς και για αυτό της Λάρισας.
Αναλυτικά"
"Λ. ΠΕΝΤΕΛΗΣ 73, ΤΚ 15234, ΧΑΛΑΝΔΡΙ",2106856400,,"Εστιατορια, ΦΑΓΗΤΟ & ΠΟΤΟ",www.pizzafan.gr,"H Pizza Fan Greece προσφέρει στους κατόχους της Ευρωπαϊκής Κάρτας Νέων
1 πίτσα 10 τεμαχίων και 2 αναψυκτικά 330ml στο αντίτιμο των 8 €
1 ατομική πίτσα και 1 ατομικό choco krats στο αντίτιμο των 4,5€


Κάντε την παραγγελία σας ηλεκτρονικά εδώ"
"ΤΣΙΜΙΣΚΗ 31, ΤΚ 67100, ΞΑΝΘΗ",2541109187,Ξάνθη,Σχολες Ξενων Γλωσσων,www.perfekt-deutsch.gr,10%.
"ΜΕΣΟΓΕΙΩΝ 99, ΤΚ 11526, ΑΘΗΝΑ",2114059540,Αθήνα,"Μαθηματα Εκμαθησης Σπορ/Ενοικιασεις, Σεμιναρια Επαγγελματικης Καταρτισης & Επιμορφωσης",www.insa.gr,20% ΕΠΑΓΓΕΛΜΑΤΙΕΣ ΑΝΑΛΥΤEΣ ΑΓΩΝΩΝ
"Αγίου Κωνσταντίνου 5, Πειραιάς 185 31",21 0412 8368,Πειραιάς,"ΜΟΡΦΩΣΗ & ΕΚΠΑΙΔΕΥΣΗ, Σχολες Ξενων Γλωσσων",www.grapsa.edu.gr,20% στα προγράμματα ενηλίκων.
"ΚΟΥΝΤΟΥΡΓΙΩΤΟΥ 108, TK 18532, ΠΕΙΡΑΙΑΣ",2104137919,"Αγία Παρασκευή,Άγιος Δημήτριος,Αθήνα,Άλιμος,Αμφιάλη,Αργυρούπολη,Αχαρνές,Βριλήσσια,Βύρωνας,Γαλάτσι,Γέρακας,Γλυκά Νερά,Γλυφάδα,Δάφνη,Ελληνικό,Ζωγράφου,Ηλιούπολη,Ιωάννινα,Καλλιθέα,Κορυδαλλός,Μαρούσι,Μελίσσια,Νέα Ερυθραία,Νέα Ιωνία,Νέα Σμύρνη,Νέο Ηράκλειο,Νέος Κόσμος,Παγκράτι,Παλαιό Φάληρο,Παλλήνη,Πανόρμου,Πειραιάς,Πετρούπολη,Σπάρτη,Σπάτα,Σύρος,Χαλάνδρι,Χολαργός","ΜΟΡΦΩΣΗ & ΕΚΠΑΙΔΕΥΣΗ, Σχολες Ξενων Γλωσσων",www.soeasy.gr,20% Έκπτωση στα φροντιστήρια So Easy σε όλη την Ελλάδα!
"Φωλιά 640 07, Καβάλα",2594092547,Καβάλα,"Αθλητικα/Αθλητικος Εξοπλισμος, Αλλο, Βιβλιοπωλεια/CD&DVD/Χαρτικα, Ειδη Καλλυντικων, ΗΥ/Φωτογραφικες Μηχανες/Gadgets, ΚΑΤΑΣΤΗΜΑΤΑ, Υπηρεσιες Ενοικιασεων/Επισκευων, Υπηρεσιες Ψηφιακης Εκτυπωσης",www.facebook.com/Cosmos-Stores-2189019361413377,10% σε όλα τα είδη στις τιμές καταστήματος.
"ΠΑΝΤΑΝΑΣΣΗΣ 4-6, ΤΚ 26221, ΠΑΤΡΑ",2610450701,Πάτρα,"ΜΟΡΦΩΣΗ & ΕΚΠΑΙΔΕΥΣΗ, Σεμιναρια Επαγγελματικης Καταρτισης & Επιμορφωσης",www.iekeuroteam.gr,10%  ΕΚΠΤΩΣΗ ΣΕ ΚΑΘΕ ΕΙΔΙΚΟΤΗΤΑ ΤΟΥ ΙΙΕΚ
"ΛΕΩΦΟΡΟΣ ΜΕΣΟΓΕΙΩΝ 419, ΤΚ 15343, ΑΘΗΝΑ",2105220920,"Αθήνα,Χολαργός","ΜΟΡΦΩΣΗ & ΕΚΠΑΙΔΕΥΣΗ, Σεμιναρια Επαγγελματικης Καταρτισης & Επιμορφωσης",www.tuvaustria.academy,15% ΣΕ ΟΛΑ ΤΑ ΕΚΠΑΙΔΕΥΤΙΚΑ ΤΗΣ ΠΡΟΓΡΑΜΜΑΤΑ.
"ΑΤΤΙΚΗ ΟΔΟΣ & ΠΟΣΕΙΔΩΝΟΣ, ΤΚ 14451, ΑΘΗΝΑ",2102836400,Αθήνα,"ΚΑΤΑΣΤΗΜΑΤΑ, Μοδα",www.matfashion.com,"20% επί των αρχικών τιμών. Η έκπτωση αυτή δε συνδυάζεται με άλλη προωθητική ενέργεια και δεν ισχύει σε περιόδους εκπτώσεων και σε προϊόντα που είναι σε προσφορά.

Η έκπτωση ισχύει σε όλα τα mat stores στην Ελλάδα με εξαίρεση το mat outlet στη Νίκαια, ενώ δεν ισχύει στα Mat Shop & Corners εκτός Ελλάδας."
"Αγγ. Γέροντα 6, ΤΚ 10558, Αθήνα",2103256921,"Αθήνα,Βόλος,Δημητσάνα,Ιωάννινα,Λέσβος,Σουφλί,Σπάρτη,Τήνος,Χίος","Μουσεια/Γκαλερι/Αξιοθεατα, ΠΟΛΙΤΙΣΜΟΣ & ΨΥΧΑΓΩΓΙΑ",www.piop.gr,"100% έκπτωση στο εισιτήριο εισόδου (ελεύθερη είσοδο) και στα εννέα (9) Μουσεία του Δικτύου του Πολιτιστικού Ιδρύματος Ομίλου Πειραιώς.

Συγκεκριμένα"
"ΧΙΟΥ & ΣΑΝΤΟΡΙΝΗΣ 4, ΤΚ 26334, ΠΑΤΡΑ",2610226652,Πάτρα,Σεμιναρια Επαγγελματικης Καταρτισης & Επιμορφωσης,www.practica.gr,10% ΣΤΑ ΑΥΤΟΧΡΗΜΑΤΟΔΟΤΟΥΜΕΝΑ ΠΡΟΓΡΑΜΜΑΤΑ ΚΑΤΑΡΤΙΣΗΣ.
"ΓΚΕΡΤΣΟΥ & 11ΗΣ ΟΚΤΩΜΒΡΙΟΥ ΑΡ. 24, ΤΚ 50100, ΚΟΖΑΝΗ",2461027001,Κοζάνη,Σεμιναρια Επαγγελματικης Καταρτισης & Επιμορφωσης,www.elkedim.gr,20%.
"ΙΠΠΟΚΡΑΤΟΥΣ 16, ΤΚ 27200, ΑΜΑΛΙΑΔΑ",2622023601,Αμαλιάδα,Σεμιναρια Επαγγελματικης Καταρτισης & Επιμορφωσης,www.ergasiakek.gr,10% στη πιστοποίηση γνώσης υπολογιστών.
"ΜΑΙΖΩΝΟΣ 121, ΠΑΤΡΑ",2610622633,Πάτρα,"ΜΟΡΦΩΣΗ & ΕΚΠΑΙΔΕΥΣΗ, Σεμιναρια Επαγγελματικης Καταρτισης & Επιμορφωσης",www.carierrapatras.gr,10%.
"Λ. ΣΥΓΓΡΟΥ 40-42, ΤΚ 11743, ΑΘΗΝΑ",2162005953,Αθήνα,"Ενοικιασεις Αυτοκινητων,Ποδηλατων,Μοτοσυκλετων, Σκαφών, ΤΑΞΙΔΙΑ & ΜΕΤΑΦΟΡΕΣ",www.avance.gr,15% ΕΠΙ ΤΟΥ ΗΜΕΡΗΣΙΟΥ ΜΙΣΘΩΜΑΤΟΣ ΤΟΥ ΕΚΑΣΤΟΤΕ ΙΣΧΥΟΝΤΟΣ ΤΙΜΟΚΑΤΑΛΟΓΟΥ ΤΟΥ ΣΥΝΕΡΓΑΤΗ.
"ΕΛ. ΒΕΝΙΖΕΛΟΥ 27, ΤΚ 65302, ΚΑΒΑΛΑ",2510224812,Καβάλα,"Ξενοδοχεια, ΤΟΥΡΙΣΜΟΣ",www.airotel.gr/el/Galaxy-Hotel-790.htm,20%.
"ΚΑΛΑΜΠΑΚΑ, ΤΚ 42200",2432075219,Καλαμπάκα,"Μουσεια/Γκαλερι/Αξιοθεατα, ΠΟΛΙΤΙΣΜΟΣ & ΨΥΧΑΓΩΓΙΑ",www.bookmuseum.gr,25%.
"ΠΛΑΤΕΙΑ ΕΙΡΗΝΗΣ 28, ΤΚ 69132, ΚΟΜΟΤΗΝΗ",2531035054,Κομοτηνή,"Ξενοδοχεια, ΤΟΥΡΙΣΜΟΣ",www.astoriakomotini.gr,15% ΕΠΙ ΤΩΝ ΕΚΑΣΤΟΤΕ ΤΙΜΩΝ ΤΗΣ ΠΕΡΙΟΔΟΥ.
"ΑΡΔΗΤΤΟΥ 36, ΤΚ 11636, ΜΕΤΣ, ΑΘΗΝΑ",2111192220,"Αθήνα,Μετς","ΜΟΡΦΩΣΗ & ΕΚΠΑΙΔΕΥΣΗ, Σεμιναρια Επαγγελματικης Καταρτισης & Επιμορφωσης",www.coachingnow.gr,20% ΣΤΙΣ ΥΠΗΡΕΣΙΕΣ COACHING & ΣΥΝΤΑΞΗΣ ΒΙΟΓΡΑΦΙΚΟΥ & ΠΡΟΕΤΟΙΜΑΣΙΑ ΣΥΝΕΝΤΕΥΞΗΣ.
